point_id,fire_date,image_date,longitude,latitude,NDVI,NDWI,NBR,NDRE,VV,VH
2024321_+72299+17568,2024-11-16T00:00:00,2024-06-11T00:00:00,74.26907661086857,30.751073147705597,,,,,-13.566548174154132,-21.565322362325134
2024322_+71727+17501,2024-11-17T00:00:00,2024-06-11T00:00:00,72.18040023352009,30.987144803173692,,,,,-7.004605429476651,-23.846204697075414
2024322_+71809+17229,2024-11-17T00:00:00,2024-06-11T00:00:00,73.23111099449456,31.911582134831157,,,,,,
2024322_+71819+17242,2024-11-17T00:00:00,2024-06-11T00:00:00,73.2238924600797,31.86588854927321,,,,,,
2024322_+71826+17168,2024-11-17T00:00:00,2024-06-11T00:00:00,73.47630536779266,32.13009639108353,,,,,,
2024322_+71831+17138,2024-11-17T00:00:00,2024-06-11T00:00:00,73.55468276117249,32.22128364308433,,,,,,
2024322_+71836+17242,2024-11-17T00:00:00,2024-06-11T00:00:00,73.29000938028959,31.862296154516095,,,,,,
2024322_+71851+17182,2024-11-17T00:00:00,2024-06-11T00:00:00,73.50804299228999,32.062957061663965,,,,,,
2024322_+71866+17192,2024-11-17T00:00:00,2024-06-11T00:00:00,73.54660011676009,32.02923253945424,,,,,,
2024322_+72019+17378,2024-11-17T00:00:00,2024-06-11T00:00:00,73.6591731282912,31.407015104684778,,,,,,
2024322_+72034+17444,2024-11-17T00:00:00,2024-06-11T00:00:00,73.54455621664769,31.184433258100587,,,,,,
2024322_+72044+17407,2024-11-17T00:00:00,2024-06-11T00:00:00,73.68385478177414,31.307943211178813,,,,,,
2024322_+72115+17165,2024-11-17T00:00:00,2024-06-11T00:00:00,74.60020070779397,32.124910258019604,,,,,-15.187587080901778,-26.458321961719736
2024322_+72198+17187,2024-11-17T00:00:00,2024-06-11T00:00:00,74.90143580741758,32.05158707989041,,,,,-10.340168246699458,-19.32256144102379
2024322_+72321+17721,2024-11-17T00:00:00,2024-06-11T00:00:00,73.95362499982382,30.246431660821873,,,,,-13.150599853962934,-24.387318873600595
2024323_+71352+17489,2024-11-18T00:00:00,2024-06-11T00:00:00,70.75024285574769,31.029300455935843,,,,,-10.244969525748111,-25.7032155399336
